,close,volume
2020-06-10,4039.71,11226572800.0
2020-06-11,3995.88,12730894100.0
2020-06-12,4003.08,13416664900.0
2020-06-15,3954.99,13129786000.0
2020-06-16,4014.57,11105153900.0
2020-06-17,4017.59,10560579900.0
2020-06-18,4044.38,13814876100.0
2020-06-19,4098.71,15294699000.0
2020-06-22,4102.05,15582946500.0
2020-06-23,4121.79,12922951000.0
2020-06-24,4138.99,12171246500.0
2020-06-29,4109.72,13086585400.0
2020-06-30,4163.96,12593352100.0
2020-07-01,4247.78,16999045600.0
2020-07-02,4335.84,25293936800.0
2020-07-03,4419.6,29048553900.0
2020-07-06,4670.09,40582102500.0
2020-07-07,4698.13,40600855300.0
2020-07-08,4774.0,34807484700.0
2020-07-09,4840.77,35104689300.0
2020-07-10,4753.13,31694965100.0
2020-07-13,4852.96,32164544600.0
2020-07-14,4806.69,29724198500.0
2020-07-15,4744.47,27238900600.0
2020-07-16,4516.25,28465713300.0
2020-07-17,4544.7,20737556300.0
2020-07-20,4680.3,24606891400.0
2020-07-21,4691.04,20041565900.0
2020-07-22,4714.45,22419921100.0
2020-07-23,4712.44,23431456900.0
2020-07-24,4505.59,24390520300.0
2020-07-27,4528.45,17142055100.0
2020-07-28,4568.26,16276849800.0
2020-07-29,4679.01,18669530500.0
2020-07-30,4656.15,16696756600.0
2020-07-31,4695.05,18483902600.0
2020-08-03,4771.31,21477623900.0
2020-08-04,4775.8,23997498500.0
2020-08-05,4777.11,19670054800.0
2020-08-06,4762.76,22785440600.0
2020-08-07,4707.93,21351821600.0
2020-08-10,4724.87,20378883200.0
2020-08-11,4681.78,20554651100.0
2020-08-12,4647.64,20288723900.0
2020-08-13,4635.71,15255009200.0
2020-08-14,4704.63,14729292100.0
2020-08-17,4815.23,26800155600.0
2020-08-18,4812.76,18913985400.0
2020-08-19,4740.68,19244294800.0
2020-08-20,4679.15,15836863900.0
2020-08-21,4718.84,14265786400.0
2020-08-24,4755.85,15114351200.0
2020-08-25,4761.95,14170135100.0
2020-08-26,4706.13,15130518000.0
2020-08-27,4731.35,11904285000.0
2020-08-28,4844.27,15939976500.0
2020-08-31,4816.22,20256702900.0
2020-09-01,4842.12,13839540200.0
2020-09-02,4843.89,15798952400.0
2020-09-03,4817.1,14567120100.0
2020-09-04,4770.22,12003279600.0
2020-09-07,4669.37,14860779100.0
2020-09-08,4694.39,13919922700.0
2020-09-09,4584.59,16227710700.0
2020-09-10,4581.98,15065287800.0
2020-09-11,4627.28,11530242400.0
2020-09-14,4651.05,10723517900.0
2020-09-15,4688.48,10191592500.0
2020-09-16,4657.36,10875364100.0
2020-09-17,4632.71,10598363100.0
2020-09-18,4737.09,16042647500.0
2020-09-21,4691.43,12453582700.0
2020-09-22,4635.76,11967294700.0
2020-09-23,4652.33,9582652800.0
2020-09-24,4563.07,11259368300.0
2020-09-25,4570.02,9301515500.0
2020-09-28,4581.91,8504838900.0
2020-09-29,4591.8,8599385800.0
2020-09-30,4587.4,8908120000.0
2020-10-09,4681.14,11133751200.0
2020-10-12,4823.16,15578455800.0
2020-10-13,4839.2,11651633800.0
2020-10-14,4807.1,11190692300.0
2020-10-15,4798.74,10996496200.0
2020-10-16,4791.68,11671610200.0
2020-10-19,4755.49,12924636100.0
2020-10-20,4793.47,9804815600.0
2020-10-21,4792.83,10380570300.0
2020-10-22,4777.98,10135089100.0
2020-10-23,4718.49,10682518400.0
2020-10-26,4691.24,10834327500.0
2020-10-27,4699.28,9265630400.0
2020-10-28,4737.27,10846340200.0
2020-10-29,4772.92,11711725000.0
2020-10-30,4695.33,13980230300.0
2020-11-02,4720.83,14286769300.0
2020-11-03,4777.56,13605540800.0
2020-11-04,4813.66,11466180600.0
2020-11-05,4885.11,13924459400.0
2020-11-06,4885.72,15363903400.0
2020-11-09,4981.35,19713198400.0
2020-11-10,4953.88,17626721400.0
2020-11-11,4904.9,16447051500.0
2020-11-12,4908.46,11811461900.0
2020-11-13,4856.85,13369307900.0
2020-11-16,4904.17,14877098000.0
2020-11-17,4894.79,15148746400.0
